tconst,startYear,runtimeMinutes,primaryTitle
tt31029109,2001,45,Broken Bow Part 1
tt53458098,2001,45,Cats and Pigeons
tt60828434,2001,45,Civilization
tt81709741,2001,45,Cold Front
tt12190089,2001,45,Convergence
tt89956557,2001,45,Cops and Robber
tt97375945,2001,45,Daveless in New York
tt30587071,2001,45,Diplopia
tt31945810,2001,45,Dying to Testify
tt29598460,2001,45,Dæmonicus
tt19294147,2001,45,Empty Nest
tt79814227,2001,45,Episode 11
tt37197553,2001,45,Everyone Into the Poole
tt84020808,2001,45,Family Ties
tt44462233,2001,45,Fear of Commitment
tt93504446,2001,45,Fight or Flight
tt89815119,2001,45,Flight of Fancy
tt81444103,2001,45,Fools Russian
tt21982889,2001,45,Fortunate Son
tt74747593,2001,45,Hit the Road Clark
tt99757095,2001,45,In the Still of the Night
tt85547864,2001,45,In the Wind
tt28479713,2001,45,InLaws Outlaws
tt18961632,2001,45,Johnny Got His Gold
tt36426314,2001,45,Legion
tt78802948,2001,45,Lies Like a Rug
tt35931642,2001,45,Little Blue Planet
tt22556805,2001,45,Lord of the Flies
tt23264965,2001,45,Lost Time
tt76429151,2001,45,Love Hurts
tt88398000,2001,45,Metamorphosis
tt38723964,2001,45,Metamorphosis
tt53645948,2001,45,Moms Away
tt37059228,2001,45,Nariz a Nariz
tt81988983,2001,45,Nothing Important Happened Today
tt23470510,2001,45,Nothing Important Happened Today II
tt15411282,2001,45,Oh Golly Goth
tt58380911,2001,45,P4X
tt30975850,2001,45,Peeping Tommy
tt38168909,2001,45,Porn Again
tt20348287,2001,45,Prisoner of Love
tt27752812,2001,45,Puppy Love
tt76907000,2001,45,Quo Vadis
tt64634738,2001,45,Rampage
tt52631742,2001,45,Rock Paper Scissors
tt78650326,2001,45,Russellmania
tt14626157,2001,45,Stan Down
tt52698117,2001,45,Strange New World
tt92474959,2001,45,Tempus Fugitive
tt94093577,2001,45,Terra Nova
tt82917856,2001,45,Texx Lexx
tt75575956,2001,45,The Andorian Incident
tt11669240,2001,45,The Rock
tt89492092,2001,45,Thumb Enchanted Evening
tt31053421,2001,45,To Be or Not to Be
tt61704344,2001,45,Truth or Consequence
tt43482095,2001,45,Two Clarks in a Bar
tt59032023,2001,45,Under Covers
tt65158562,2001,45,Unexpected
tt99687620,2001,45,Vlad
tt67904271,2001,45,Waking Up Is Hard to Do
tt95841565,2001,45,Walpurgis Night
tt60370479,2001,45,Writing Wrongs
tt99817859,2001,46,April Showers
tt39490000,2001,46,Brownlows Newspaper
tt93516797,2001,46,Brownlows Newspaper
tt17101603,2001,46,Four Corners
tt91169550,2001,46,Home Sweet Home
tt87728068,2001,46,Home Sweet Home
tt89353845,2001,46,If I Should Fall from Grace
tt61202040,2001,46,Never Say Never
tt14342656,2001,46,No Hiding Place
tt82920182,2001,46,No Hiding Place
tt45448556,2001,46,No Hiding Place
tt22413886,2001,46,Old Masters
tt30299185,2001,46,Old Masters
tt90286488,2001,46,Parallax
tt24197238,2001,46,Partly Cloudy Chance of Rain
tt60600849,2001,46,Pilot
tt56830170,2001,46,Sailing Away
tt55928741,2001,46,Start All Over Again
tt91326302,2001,46,Supplies and Demands
tt60462527,2001,46,Surrender
tt74206601,2001,46,Survival of the Fittest
tt62796644,2001,46,The Crystal Egg
tt76621139,2001,46,The Longer You Stay
tt42415366,2001,46,The New Accelerator
tt57493640,2001,46,The Remarkable Case of Davidsons Eyes
tt55614093,2001,46,The Stolen Bacillus
tt97863393,2001,46,The Stolen Bacillus
tt59159828,2001,46,The Truth About Pyecraft
tt48973753,2001,46,The Truth About Pyecraft
tt28078670,2001,46,Thy Will Be Done
tt38943182,2001,46,Where the Heart Is
tt71752759,2001,47,769
tt99904700,2001,47,A Midsummers Nightmare
tt79929172,2001,47,Bad Carrot
tt72155936,2001,47,Fluff Daddy
tt88472237,2001,47,Home to Roost
tt86386686,2001,47,Home to Roost
tt87791628,2001,47,The Rivals
tt35374367,2001,47,The Rivals
tt66279719,2001,47,Uninvited Guests
tt68501143,2001,47,Uninvited Guests
tt19572438,2001,47,Xevivor
tt93628912,2001,48,800 Leagues Down the Amazon
tt99744224,2001,48,Choices
tt37424104,2001,48,Episode 24
tt80863973,2001,48,Episode 28
tt71036395,2001,48,Happiness
tt27554199,2001,48,Jules Vernes Amazing Journeys  Journey to the Center of the Earth
tt51821053,2001,48,Jules Vernes Amazing Journeys  Journey to the Center of the Earth
tt47228249,2001,48,Klau am Bau
tt47070034,2001,48,Klau am Bau
tt24976647,2001,48,Legacies
tt54553164,2001,48,Legacies
tt78688594,2001,48,Mysterious Island
tt18427095,2001,48,Pound of Flesh
tt26566378,2001,48,Return of the Hunter
tt95817113,2001,48,Runaways
tt47887749,2001,48,Russian Roulette
tt40038468,2001,48,Russian Roulette
tt17883940,2001,48,Russian Roulette
tt42671133,2001,48,Sanctuary
tt99207240,2001,48,The Greatest Show on Ice
tt20822130,2001,48,The Southern Star
tt36850371,2001,48,The Ties That Bind
tt11960044,2001,49,Breaking the Bonds of Disobedience
tt53914382,2001,49,Coral Seas
tt54343196,2001,49,Day of Days
tt44971976,2001,49,Episode 21
tt87680907,2001,49,Episode 22
tt94257948,2001,49,Episode 23
tt93509296,2001,49,Episode 25
tt76883134,2001,49,Episode 26
tt43951422,2001,49,Episode 27
tt53168436,2001,49,Episode 31
tt25256587,2001,49,Episode 32
tt19069007,2001,49,Episode 33
tt50041700,2001,49,Episode 34
tt80897590,2001,49,Episode 35
tt80608610,2001,49,Episode 36
tt25636847,2001,49,Episode 37
tt24235875,2001,49,Episode 38
tt48154025,2001,49,Episode 39
tt58915657,2001,50,A Change of Heart
tt50620196,2001,50,A Pound of Flesh
tt74880961,2001,50,A Week of Nights Part 1
tt78898804,2001,50,A Week of Nights Part 2
tt95193796,2001,50,Aftershock
tt70599529,2001,50,Angel Rooms
tt30062779,2001,50,Another Country
tt49941271,2001,50,Appropriate Action
tt10535460,2001,50,Beyond the Call
tt40200708,2001,50,Billy the Kid
tt34825905,2001,50,Blood and Money
tt49388527,2001,50,Britanniamania 1 Going Underground
tt11718847,2001,50,Britanniamania 2 To Us and Ours
tt46203652,2001,50,Britanniamania 3 Kick Off
tt68179857,2001,50,Britanniamania 4 Stand by Me
tt41313769,2001,50,Collateral Damage
tt15901888,2001,50,Come Live with Me
tt11640854,2001,50,Common Language
tt88641781,2001,50,Complicity Part 1
tt80331854,2001,50,Complicity Part 2
tt40921615,2001,50,Compulsion
tt24671870,2001,50,Cruise Control
tt25435215,2001,50,Crush
tt19209161,2001,50,Debt of Love
tt86802735,2001,50,Envy
tt25943447,2001,50,Eye of the Lens
tt49297526,2001,50,Family Honour
tt74948518,2001,50,Faultline
tt86725375,2001,50,For Better for Worse
tt83767098,2001,50,Going Under
tt97871134,2001,50,Greed
tt81805860,2001,50,Gun Crazy Part 1
tt60198850,2001,50,Gun Crazy Part 2
tt64093156,2001,50,Happy and Glorious
tt63790906,2001,50,Head Over Heels
tt28508788,2001,50,Hidden Agenda
tt59327891,2001,50,Higher Power
tt59353237,2001,50,Hitting Home
tt62530931,2001,50,Home Run
tt51268231,2001,50,Home and Away
tt59523072,2001,50,In Another Life
tt46371783,2001,50,Judas Kiss
tt13436512,2001,50,Lick of Paint
tt10066561,2001,50,Lies of Silence
tt48822862,2001,50,Lifelines
tt29730171,2001,50,Liquid City
tt77616065,2001,50,Long Shadows Part 1
tt25987239,2001,50,Long Shadows Part 2
tt96014423,2001,50,Lure of the Sirens
tt99809320,2001,50,Mexican StandOff
tt43467759,2001,50,Night Games
tt73892176,2001,50,No Victim
tt97597771,2001,50,On a Clear Day
tt17235003,2001,50,Out of the Frying Pan
tt98689962,2001,50,Over the Hill
tt26944338,2001,50,PC Smith
tt90763639,2001,50,Paint It Black
tt52613730,2001,50,Pilot
tt99235676,2001,50,Pilot
tt50539752,2001,50,Promised Land
tt10573768,2001,50,Real Crime
tt28089314,2001,50,Redemption
tt90824994,2001,50,Sacrifice
tt60048284,2001,50,Shout
tt89296261,2001,50,Slash and Burn
tt67382529,2001,50,Special Attention
tt34394004,2001,50,Still Crazy
tt70854973,2001,50,Suffer the Little Children
tt57828247,2001,50,Temptation
tt95982403,2001,50,The Dark Side
tt74128914,2001,50,The Jurys Out
tt27385280,2001,50,The Leopard Part 1
tt91159290,2001,50,The Leopard Part 2
