tt57281991,Le Crime ne paie pas,Le Crime ne paie pas,2014,91,"Comedy,Crime,Drama",7.2,187,6,writer,adaptation,2,7,Agatha Christie,1890,1976,"writer,camera_department"
tt57282714,Bodyguards Are People Too,Bodyguards Are People Too,1983,25,Comedy,6.7,56,6,writer,created by,9,17,Don Nicholl,1925,1980,"writer,producer,script_department"
tt57283051,I Had a Dream,I Had a Dream,1978,25,Comedy,6.6,59,10,writer,story editor,5,17,Kim Weiskopf,1947,2009,"producer,writer,script_department"
tt57283395,Tag Youre It,Tag Youre It,1968,60,"Action,Adventure,Comedy",8.1,39,9,producer,producer,3,16,David Friedkin,1912,1976,"producer,writer,director"
tt57283988,Line of Fire,Line of Fire,1967,60,"Crime,Drama,Mystery",7.6,23,7,producer,producer,3,9,Charles Larson,1922,2006,"producer,writer"
tt57284915,The Injured,The Injured,1959,30,Western,6.9,7,6,writer,written by,1,27,Samuel A. Peeples,1917,1997,"writer,producer,miscellaneous"
tt57288045,Unworthy,Unworthy,2017,44,"Drama,Horror,Mystery",8.3,730,7,writer,inspired by the novel by,2,10,William Peter Blatty,1928,2017,"writer,actor,director"
tt57288493,Womens Lib,Womens Lib,1971,30,"Comedy,Family",6.2,53,9,cinematographer,director of photography,9,16,Harry L. Wolf,1908,1993,"cinematographer,camera_department,miscellaneous"
tt57288663,Jeannie and the Wild Pipchicks,Jeannie and the Wild Pipchicks,1968,25,"Comedy,Family,Fantasy",7.6,185,7,writer,written by,4,2,James S. Henerson,1936,2020,"writer,producer,miscellaneous"
tt57288685,Meet the InLaws,Meet the InLaws,1967,25,Comedy,7.1,37,6,writer,created by,5,8,Paul Henning,1911,2005,"writer,producer,soundtrack"
tt57289894,Treason at Dry Creek,Treason at Dry Creek,1952,23,Western,7.1,33,9,cinematographer,director of photography,3,13,Robert Pittack,1899,1976,"cinematographer,camera_department"
tt57290363,Little Girl Lost,Little Girl Lost,1968,60,Western,7.0,84,6,writer,created by,10,8,David Dortort,1916,2010,"producer,writer,miscellaneous"
tt57291160,Veras Grounded Gumshoe,Veras Grounded Gumshoe,1985,23,Comedy,7.8,53,7,writer,created by,9,15,Robert Getchell,1936,2017,"writer,soundtrack"
tt57292139,The Julia Bulette Story,The Julia Bulette Story,1959,49,Western,6.8,168,10,cinematographer,director of photography,1,6,Lester Shorr,1907,1992,"cinematographer,camera_department"
tt57292710,Completely Foolproof,Completely Foolproof,1965,48,"Crime,Drama,Horror",6.6,265,6,writer,story,3,23,Robert Arthur,1909,1969,writer
tt57295676,The Princess and the Gunfighter,The Princess and the Gunfighter,1961,30,Western,8.1,98,7,writer,created by,4,19,Sam Rolfe,1924,1993,"writer,producer,soundtrack"
tt57296173,The Space Car,The Space Car,1962,30,"Animation,Comedy,Family",7.1,168,7,writer,story,1,4,Barry E. Blitzer,1929,2010,"writer,miscellaneous,script_department"
tt57298362,Border Line,Border Line,1973,25,"Adventure,Crime",5.9,26,7,producer,producer,2,13,Gerry Anderson,1929,2012,"writer,producer,director"
tt57298624,Fuzzy Vision,Fuzzy Vision,1985,47,"Action,Crime,Drama",7.3,31,7,writer,created by,2,20,Frank Lupo,1955,2021,"writer,producer,script_department"
tt57299577,Christmas and the HardLuck Kid,Christmas and the HardLuck Kid,1966,30,Comedy,7.1,81,7,writer,created by,1,16,Sam Denoff,1928,2011,"writer,producer,miscellaneous"
tt57300269,The Man with the Concrete Thumb,The Man with the Concrete Thumb,1961,60,"Crime,Drama",7.8,17,8,producer,producer,1,10,Herbert Brodkin,1912,1990,"producer,set_decorator,actor"
tt57300989,Honor,Honor,1986,60,Drama,7.4,14,7,writer,developed for television by,4,3,James Bridges,1936,1993,"writer,actor,director"
tt57302011,Every Time She Smiles,Every Time She Smiles,1986,60,"Action,Adventure,Crime",7.5,396,7,writer,written by,1,16,James Schmerer,1938,2019,"miscellaneous,producer,writer"
tt57304695,Never Trust a Ghost,Never Trust a Ghost,1969,51,"Action,Comedy,Crime",8.1,76,8,producer,producer,1,4,Monty Berman,1913,2006,"producer,writer,cinematographer"
tt57305185,Alias the Scarf,Alias the Scarf,1967,30,"Action,Adventure,Crime",7.2,96,8,producer,producer,1,22,Richard M. Bluel,1925,1992,"producer,writer,miscellaneous"
tt57306133,Hackett,Hackett,1970,60,Western,6.9,127,6,writer,written by,15,25,William Kelley,1929,2003,"writer,miscellaneous,producer"
tt57306276,Terrys Crush,Terrys Crush,1958,30,"Comedy,Family",8.3,36,7,writer,written by,5,21,Charles Stewart,1914,2000,"writer,producer,miscellaneous"
tt57306293,The Deadly Smorgasbord Affair,The Deadly Smorgasbord Affair,1967,60,"Action,Adventure,Crime",6.7,65,7,writer,developer,3,18,Sam Rolfe,1924,1993,"writer,producer,soundtrack"
tt57307377,Perilous Assignment,Perilous Assignment,1959,60,"Adventure,Drama,Family",7.9,20,5,producer,producer,6,6,Bill Anderson,1911,1997,"producer,production_manager"
tt57342921,Gomer and the Queen of Burlesque,Gomer and the Queen of Burlesque,1968,30,"Comedy,War",7.6,60,6,writer,written by,4,21,Barry E. Blitzer,1929,2010,"writer,miscellaneous,script_department"
tt57349361,The Borrowed Car,The Borrowed Car,1966,30,"Comedy,War",7.9,58,8,writer,created by,3,8,Aaron Ruben,1914,2010,"writer,producer,miscellaneous"
tt57444236,The Martians Fair Hobo,The Martians Fair Hobo,1965,30,"Comedy,Family,Sci-Fi",7.2,31,9,writer,creator,2,33,John L. Greene,1912,1995,"writer,producer"
tt57447554,Three on a Honeymoon,Three on a Honeymoon,1960,30,"Comedy,Family",7.8,14,6,writer,written by,7,27,Irving Elinson,1907,1967,"writer,producer"
tt57471686,The Crapshooter Who Would Be King,The Crapshooter Who Would Be King,1972,30,Comedy,5.9,19,7,writer,written by,4,21,Richard Powell,1916,1996,"writer,producer,script_department"
tt57534269,The Kamikazes Are Coming,The Kamikazes Are Coming,1971,30,"Comedy,War",7.6,131,6,writer,written by,6,20,Richard Powell,1916,1996,"writer,producer,script_department"
tt57705798,Barneys Sidecar,Barneys Sidecar,1964,30,"Comedy,Family",8.6,364,7,writer,written by,4,16,Everett Greenbaum,1919,1999,"writer,actor,miscellaneous"
tt57735766,The Leprechaun,The Leprechaun,1966,25,"Comedy,Family,Fantasy",6.8,359,7,writer,written by,2,27,John L. Greene,1912,1995,"writer,producer"
tt57773698,Beaver the Sheep Dog,Beaver the Sheep Dog,1962,30,"Comedy,Family",7.3,119,9,writer,written by,6,11,Roland MacLane,1903,1984,writer
tt57827694,Im No Henry Walden,Im No Henry Walden,1963,30,"Comedy,Family",7.8,233,7,writer,story by,2,26,Ray Brenner,1927,1995,"writer,miscellaneous"
tt57829875,Help on the Farm,Help on the Farm,1968,26,"Comedy,Family",7.0,28,10,cinematographer,director of photography,1,4,Sidney Hickox,1895,1982,"cinematographer,camera_department,actor"
tt57953158,Love and Marriage,Love and Marriage,1972,26,Comedy,7.4,95,9,writer,story consultant,1,7,Frank Tarloff,1916,1999,"writer,miscellaneous,script_department"
tt58004134,The Crop Duster,The Crop Duster,1963,30,"Comedy,Family",7.6,13,7,writer,written by,6,15,John L. Greene,1912,1995,"writer,producer"
tt58026079,Boys Will Be Boys,Boys Will Be Boys,1959,30,"Comedy,Family",7.3,37,7,writer,written by,1,24,John Whedon,1905,1991,writer
tt58028268,The Return of Malcolm Merriweather,The Return of Malcolm Merriweather,1964,30,"Comedy,Family",7.6,276,8,writer,created by,4,28,Aaron Ruben,1914,2010,"writer,producer,miscellaneous"
tt58048860,A Loaf of Bread a Jug of Wine and Peaches,A Loaf of Bread a Jug of Wine and Peaches,1963,30,"Comedy,Family,Sci-Fi",7.6,59,7,writer,creator,1,7,John L. Greene,1912,1995,"writer,producer"
tt58114909,Margaret Feels Neglected,Margaret Feels Neglected,1954,30,"Comedy,Family",7.4,11,7,writer,teleplay,2,11,Irving Elinson,1907,1967,"writer,producer"
tt58170657,Ken Berry and Nanette Fabray,Ken Berry and Nanette Fabray,1970,60,"Comedy,Family",7.7,36,7,writer,writer,4,5,Don Hinkley,1921,1981,"writer,producer"
tt58183387,Winter Nightmare,Winter Nightmare,1973,30,"Adventure,Animation",6.1,10,9,writer,stories,1,10,Joseph Bonaduce,1927,2004,"writer,miscellaneous,producer"
